id;budget;genres;original_language;original_title;title;overview;poster_path;production_companies;release_date;revenue;runtime;vote_average;vote_count;tagline
787699;125000000;["Comédie","Familial","Fantastique"];en;Wonka;Wonka;Inspiré du personnage principal hors du commun de Charlie et la Chocolaterie, le best-seller de Roald Dahl qui est aujourd'hui l'un des livres pour enfants les plus vendus de tous les temps, "Wonka" est une histoire merveilleuse retraçant la jeunesse de Willy Wonka, et comment il est devenu ce grand inventeur, magicien et chocolatier que nous connaissons aujourd'hui. Dans ce spectacle saisissant et d'une créativité sans limites, les spectateurs découvriront un Willy Wonka jeune, la tête débordant d'idées et bien décidé à changer le monde à coups de délicieuses chocolateries. Il vous montrera que les meilleures choses de la vie commencent par un rêve, et qu'en rencontrant Willy Wonka, tout devient possible.;/aKAnL3sr5iz5SsOs89vS2k1XrKO.jpg;["Warner Bros. Pictures","Village Roadshow Pictures","The Roald Dahl Story Company","Heyday Films","Domain Entertainment"];2023-12-06;533242442;117;7.208;1303;Avant Charlie et la Chocolaterie il y avait Willy...
572802;205000000;["Action","Aventure","Fantastique"];en;Aquaman and the Lost Kingdom;Aquaman et le Royaume perdu;Alors qu'Arthur Curry affronte ses responsabilités de roi des Sept mers, un pouvoir antique enfoui depuis longtemps se déchaîne. Après avoir été témoin de l'effet de ces forces obscures, Aquaman doit forger une alliance difficile avec un vieil ennemi et se lancer dans un voyage périlleux pour protéger sa famille, son royaume et le monde d'une dévastation irréversible.;/w8r7NAEIGLPH5r3NhiMobEO80PS.jpg;["Warner Bros. Pictures","The Safran Company","Atomic Monster","DC Films","Domain Entertainment"];2023-12-20;396609934;124;6.702;627;Que les océans se déchaînent.
955916;0;["Comédie","Crime"];en;Lift;En plein vol;Dirigée par Cyrus Whitaker, une équipe internationale de braqueurs tente de s'emparer de 500 millions de dollars en or dans un avion en plein vol.;/wchSjpt6GbzmGif1ble2OC2Xi3B.jpg;["Genre Films","6th & Idaho","HartBeat Productions"];2024-01-10;0;104;6.427;468;
906126;65500000;["Drame","Histoire"];es;La sociedad de la nieve;Le Cercle des neiges;Le 13 octobre 1972, le vol 571 de l'armée de l'air uruguayenne, affrété pour transporter une équipe de rugby au Chili, s'écrase sur un glacier au cœur des Andes.;/nDbV9AUeUc7Zf5vUAqoagF7O8M7.jpg;["El Arriero Films","Misión de Audaces Films","Netflix"];2023-12-13;0;145;8.06;1232;Inspiré d'une incroyable histoire vraie
848187;0;["Action","Comédie","Romance"];en;Role Play;Role Play;Emma et Dave pimentent leur soirée d'anniversaire avec un jeu de rôle à New York. Mais les choses deviennent dangereuses lorsque la vie secrète d'assassine internationale, inconnue de Dave, est exposée par Bob, ce qui met en danger sa famille. Emma doit se servir de ses compétences mortelles et sa détermination pour protéger sa famille à tout prix.;/nAdbrQvzIlqGTmod9kgsbKeCLAV.jpg;["StudioCanal","The Picture Company","Studio Babelsberg","StudioCanal"];2023-12-14;0;101;5.817;180;
508883;50000000;["Animation","Aventure","Fantastique"];ja;君たちはどう生きるか;Le garçon et le héron;Après la disparition de sa mère dans un incendie, Mahito, un jeune garçon de 11 ans, doit quitter Tokyo pour partir vivre à la campagne dans le village où elle a grandi. Il s’installe avec son père dans un vieux manoir situé sur un immense domaine où il rencontre un héron cendré qui devient petit à petit son guide et l’aide au fil de ses découvertes et questionnements à comprendre le monde qui l'entoure et percer les mystères de la vie.;/f9EoS3lVr644WXO8YPRvBiTS1K.jpg;["Studio Ghibli"];2023-07-14;159000000;124;7.469;782;
1214314;0;["Action","Thriller"];en;One More Shot;One More Shot;À la suite d'une attaque contre une base en Pologne, le marine Jake Harris doit avoir recours à toute son expérience au combat pour se sortir d'un aéroport assiégé par des mercenaires qui veulent libérer le terroriste notoire Amin Mansur. Avec la menace d'un attentat à la bombe lors du discours de l'État de l'Union, Mansur est le seul à savoir où se trouve cette bombe. Encore affligé par la mort de ses collègues, Harris doit protéger l'homme qu'il doit livrer à la justice et prévenir l'attentat lors du discours à la nation.;/pTL4Rh8XlSIjKk2xZq2azyI9dUJ.jpg;["Signature Films","Signature Entertainment","Lipsync Productions","Sky Cinema","Richmond Pictures"];2024-01-12;0;102;6.765;68;
940551;72000000;["Animation","Aventure","Comédie","Familial","Action"];en;Migration;Migration;La routine règne chez les Colvert. Si papa Mack préfère garder les siens bien à l’abri dans leur étang de la Nouvelle-Angleterre, maman Pam veut changer les choses et faire découvrir le monde à leurs deux enfants, Dax l’ado et Gwen la cadette. Après qu’une famille de canards migrateurs s’est enflammée pour des récits parlant d’endroits très lointains, Pam persuade Mack d’embarquer la famille dans un long périple, depuis la ville de New York jusque sous les tropiques, en Jamaïque. Tandis que les Colvert s’envolent vers le Sud pour l’hiver, leurs projets bien rodés tombent rapidement à l’eau. Une expérience qui les pousse alors à étendre leurs horizons, à s’ouvrir à de nouveaux amis et à aller au-delà de leurs espoirs les plus fous, tout en apprenant davantage sur chacun et sur soi-mêm;/z41CiKh09ljWXqHoGNb4zLom03K.jpg;["Universal Pictures","Illumination"];2023-12-06;192040800;83;7.546;140;
1155089;70000000;["Animation","Science-Fiction","Action"];en;Justice League: Crisis on Infinite Earths Part One;Justice League : Crisis on Infinite Earths Partie 1;La mort arrive. Pire que la mort : l'annihilation. Pas seulement pour notre Terre, mais pour tout le monde, absolument partout, dans tous les univers ! Pour lutter contre cette destruction sans précédent, le mystérieux Monitor a réuni la plus grande équipe de super-héros jamais créée. Mais les pouvoirs combinés de Superman, Wonder Woman, Batman, Flash, Green Lantern et d'autres centaines de héros venus de différentes Terres seront-ils réellement suffisants pour défendre la réalité entière face à l'ARMAGEDDEON ?!;/6v7K3C05dvwp4OJwxtBQXL608xU.jpg;["DC Entertainment","Warner Bros. Animation"];2024-01-09;0;92;7.824;119;
872585;100000000;["Drame","Histoire"];en;Oppenheimer;Oppenheimer;En 1942, convaincus que l'Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le "Projet Manhattan" destiné à mettre au point la première bombe atomique de l’histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien, qui sera bientôt surnommé "le père de la bombe atomique". C'est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et son équipe mettent au point une arme révolutionnaire dont les conséquences, vertigineuses, continuent de peser sur le monde actuel…;/boAUuJBeID7VNp4L7LNMQs8mfQS.jpg;["Syncopy","Universal Pictures","Atlas Entertainment"];2023-07-19;952000000;181;8.115;6289;Le monde changera à jamais.
695721;100000000;["Drame","Science-Fiction","Action"];en;The Hunger Games: The Ballad of Songbirds & Snakes;Hunger Games : La Ballade du serpent et de l'oiseau chanteur;Le jeune Coriolanus est le dernier espoir de sa lignée, la famille Snow autrefois riche et fière est aujourd’hui tombée en disgrâce dans un Capitole d'après-guerre. À l’approche des 10ème Hunger Games, il est assigné à contrecœur à être le mentor de Lucy Gray Baird, une tribut originaire du District 12, le plus pauvre et le plus méprisé de Panem. Le charme de Lucy Gray ayant captivé le public, Snow y voit l’opportunité de changer son destin, et va s’allier à elle pour faire pencher le sort en leur faveur. Luttant contre ses instincts, déchiré entre le bien et le mal, Snow se lance dans une course contre la montre pour survivre et découvrir s’il deviendra finalement un oiseau chanteur ou un serpent.;/A1FnJai5qjvtwYA8GiWYrqFA8Xo.jpg;["Lionsgate","Color Force"];2023-11-15;336400000;157;7.228;1560;On a tous soif de quelque chose.
792307;35000000;["Science-Fiction","Romance","Comédie"];en;Poor Things;Pauvres créatures;Après s'être noyée pour échapper à son mari violent, le cerveau de Bella Baxter est remplacé par celui de son enfant à naître.;/5fT98da9ccWN2xr8VOJrSBp3Cdw.jpg;["Searchlight Pictures","Film4 Productions","TSG Entertainment","Element Pictures","Limp","Fruit Tree"];2023-11-21;33800000;141;8.0;237;
927107;0;["Action","Thriller"];en;The Bricklayer;The Bricklayer;Steve Vail, ancien agent du FBI, est devenu maçon à Chicago. L'Agence se voit contrainte de faire appel à lui pour localiser et combattre un groupe de criminels. Ces derniers exigent une série de rançons dont chacune s'élève à plusieurs millions de dollars.;/pwOQ9lqLX1OgsJRSybS662wMcu8.jpg;["G-BASE","Eclectic Pictures","Millennium Media","Ekome"];2023-12-14;0;110;6.4;61;
866398;36000000;["Action","Thriller"];en;The Beekeeper;The Beekeeper;La quête brutale de vengeance d’un homme prend des proportions démesurées alors que son passé d’agent secret d’une puissante organisation clandestine connue sous le nom des Apiculteurs est révélé.;/qV8jalKGwclulNfHzai87mciFgP.jpg;["Miramax","Cedar Park Entertainment","Punch Palace Productions"];2024-01-10;75500000;105;7.5;167;
1072790;25000000;["Comédie","Romance"];en;Anyone But You;Tout sauf toi;Bea et Ben ont tout du couple parfait, mais après un premier rendez-vous idéal, un incident refroidit leur attirance réciproque jusqu'à leurs retrouvailles inattendues lors d'un mariage en Australie. Ils font alors ce que n'importe quel adulte mature ferait dans cette situation : prétendre être en couple.;/rz3Yh41ixssNWJsXdjA8V5bEDQz.jpg;["Olive Bridge Entertainment","Fifty-Fifty Films","Roth-Kirschenbaum Films","SK Global Entertainment","Columbia Pictures"];2023-12-21;100221578;104;7.204;93;
901362;95000000;["Animation","Familial","Musique","Fantastique","Comédie"];en;Trolls Band Together;Les Trolls 3;Poppy découvre que Branche et ses quatre frères faisaient autrefois partie de son boys band préféré. Lorsque l'un de ses frères et sœurs, Floyd, est kidnappé par une paire de méchants infâme, Branche et Poppy se lance dans un voyage déchirant et émouvant pour réunir les autres frères et sauver Floyd d'un destin encore pire que l'obscurité de la culture pop.;/xC6Zc2jpa3dD8IzgXQSzC3rDbc3.jpg;["DreamWorks Animation","dentsu"];2023-10-12;203900000;91;7.235;571;
